CATEGORY,CATEGORY_ID,TITLE,CODE
REVENUE,4,MISCELLANEOUS INCOME,40700
REVENUE,4,PURCHASES,51110
EXPENSES,5,INTEREST EXPENSE ON BORROWINGS,71100
EXPENSES,5,INTEREST EXPENSE ON DEPOSITS,71200
EXPENSES,5,OTHER FINANCING CHARGES,71300
EXPENSES,5,SALARIES & WAGES,72140
EXPENSES,5,INCENTIVE AND ALLOWANCES,72150
EXPENSES,5,EMPLOYEES BENEFIT,72160
EXPENSES,5,"SSS,PHILHEALTH,ECC,PAG-IBIG PREMIUM CONTRIBUTION",72170
EXPENSES,5,RETIREMENT BENEFIT EXPENSES,72180
EXPENSES,5,COMMISSION EXPENSES,72190
EXPENSES,5,ADVERTISING & PROMOTION,72200
EXPENSES,5,PROFESSIONAL FEES,72210
EXPENSES,5,"POWER, LIGHT AND WATER",72280
EXPENSES,5,TRAVEL AND TRANSPORTATION,72290
EXPENSES,5,INSURANCE,72300
EXPENSES,5,REPAIRS AND MAINTENANCE,72310
EXPENSES,5,RENTALS,72320
EXPENSES,5,"TAXES, FEES AND CHARGES",72330
EXPENSES,5,COMMUNICATION,72340
EXPENSES,5,REPRESENTATION,72350
EXPENSES,5,"GAS, OIL & LUBRICANTS",72360
EXPENSES,5,MISCELLANEOUS EXPENSES,72370
EXPENSES,5,DEPRECIATION,72380
EXPENSES,5,OFFICERS HONORARIUM AND ALLOWANCES,73150
EXPENSES,5,LITIGATION EXPENSES,73170
EXPENSES,5,OFFICE SUPPLIES,73190
EXPENSES,5,MEETINGS AND CONFERENCES,73200
EXPENSES,5,TRAININGS/SEMINARS,73210
EXPENSES,5,COLLECTION EXPENSE,73320
EXPENSES,5,GENERAL SUPPORT SERVICES,73330
EXPENSES,5,BANK CHARGES,73400
EXPENSES,5,GENERAL ASSEMBLY EXPENSES,73410
EXPENSES,5,COOPERATIVE CELEBRATION EXPENSE,73420
EXPENSES,5,MEMBERS BENEFIT EXPENSE,73430
EXPENSES,5,AFFILIATION FEE,73440
EXPENSES,5,SOCIAL & COMMUNITY SERVICE EXPENSE,73450
